npc_id,npc_name,notes
462,Vultros,Vultros can appear a one of five places around the farmsteads of northern Westfall: (i) south of the Jansen Stead; (ii) south-east of Furlbrow's Pumpkin Farm; (iii) around the road between Furlbrow's Pumpkin Farm and the Molsen Farm; (iv) east of the Molsen Farm; and (v) just south-east of Saldean's Farm.
574,Naraxis,"Appears in a cave in the mountains that form the eastern border of the zone. The cave can be seen on the zone map, in an area roughly north-east of Tranquil Gardens Cemetery."
1201,Snow Leopard,Only found in North Gate Pass. Left overs.
1511,Enraged Silverback Gorilla,"Spawns as the first gorilla during the quest Stranglethorn Fever, at a cave at the north end of Mistvale Valley. See Fin Fizracket in Booty Bay to obtain the quest."
1516,Konda,"Spawns as the second gorilla during the quest Stranglethorn Fever, at a cave at the north end of Mistvale Valley. See Fin Fizracket in Booty Bay to obtain the quest."
1552,Scale Belly,Located at the back of the mine.
1780,Skitterweb Striker,Found at the Skittering Dark cave in the northwest of Silverpine.
1781,Skitterweb Lurker,Found at the Skittering Dark cave in the northwest of Silverpine.
2098,Ram,"The Ram will try to run away when you start taming, so a Freezing Trap may be handy. In the Wetlands it can be found on peaks just north of Dun Algaz and terraced slopes south-east of Menethil Harbor. In Loch Modan it can be found sporadically in many places, especially in grassy areas close to the mountain borders. In the Arathi Highlands it can be found on a remote dwarven farm by the sea, beyond the eastern mountain border. but only in its original (pre-Battle for Azeroth) phase."
2350,Forest Creeper,Located in Hillsbrad Foothills; Old Hillsbrad Foothills (Dungeon).
2354,Vicious Gray Bear,Located in Old Hillsbrad Foothills (Dungeon).
2385,Foothill Stalker,Located in Hillsbrad Foothills; Old Hillsbrad Foothills (Dungeon).
2408,Snapjaw,Located in Hillsbrad Foothills; Old Hillsbrad Foothills (Dungeon).
2462,Flesh Eating Worm,Spawns when Rotted Ones are killed. You must be very fast to tame it before it dies! Will still die after taming.
2476,Gosh-Haldir <The Clutch Mother>,Spawns on what used to be the crocolisk island in the southern part of the dried-up loch.
2658,Razorbeak Gryphon,Friendly to Alliance.
3056,Ghost Howl,Spawns rarely though not classed as a rare.
3619,Ghost Saber,"This cat remains ghostly after it is tamed! To summon a Ghost Saber you have to find and click on Cat Figurines around the Ruins of Mathystra, until one appears."
3630,Deviate Coiler,Located in Wailing Caverns (Dungeon).
3631,Deviate Stinglash,Located in Wailing Caverns (Dungeon).
3632,Deviate Creeper,Located in Wailing Caverns (Dungeon).
3633,Deviate Slayer,Located in Wailing Caverns (Dungeon).
3634,Deviate Stalker,Located in Wailing Caverns (Dungeon).
3636,Deviate Ravager,Located in Wailing Caverns (Dungeon).
3637,Deviate Guardian,Located in Wailing Caverns (Dungeon).
3652,Trigore the Lasher,Located in Wailing Caverns (Dungeon).
3653,Kresh,"Located in Screaming Gully, Wailing Caverns (Dungeon). Kresh wanders the watery channel in the first section of the dungeon, just down from the entrance."
3680,Serpentbloom Snake,"Located in Wailing Caverns (Dungeon). To get this snake to spawn you must have the quest Preemptive Methods, which is a one-time quest offered by Nalpak just inside the dungeon entrance. A Serpentbloom Snake will spawn each time you harvest a Serpentbloom inside the instance. Note that these snakes are level 1 but the rest of the NPCs in the dungeon are higher level (scaling from approximately 8 to 31)."
3864,Fel Steed,Located in Shadowfang Keep (Dungeon). Found in the stables after the first boss.
3868,Blood Seeker,"Spawns extremely rarely, and is reported to despawn shortly afterwards (after approximately 15 seconds)."
4006,Deepmoss Webspinner,Hangs upside down from trees.
4015,Pridewing Patriarch,Kill other Pridewings to get him to spawn.
4016,Fey Dragon,"Friendly to Alliance. This fey darter appears only sporadically in the area, and is often killed by hostile NPCs. It may take you a while to find one."
4017,Wily Fey Dragon,"Hostile to both factions. This fey darter appears only sporadically in the area, and is often killed by hostile NPCs. It may take you a while to find one."
4250,Galak Packhound,"Although not technically rare, these packhounds only spawn as the companions of a rare NPC, Achellios the Banished."
4374,Strashaz Hydra,"Phased out once you complete the ""Theramore's Fall"" scenario. Speak to Zidormi to access the pre-destruction phase. Originally this hydra just came in black. The orange variant was introduced in Patch 7.1."
4861,Shrike Bat,Located in Uldaman (Dungeon).
4863,Jadespine Basilisk,Located in Uldaman (Dungeon).
4950,Spot,"Spot phases out once you complete the ""Theramore's Fall"" scenario but you can speak to Zidormi to be transported to the pre-destruction phase."
5048,Deviate Adder,Located in Wailing Caverns (Dungeon).
5053,Deviate Crocolisk,Located in Wailing Caverns (Dungeon).
5056,Deviate Dreadfang,Located in Wailing Caverns (Dungeon).
5225,Murk Spitter,Found outside the Sunken Temple dungeon.
5278,Sprite Darter,"Friendly to Alliance, but can be attacked and tamed by Horde. Found in the glades west and north-west of Camp Mojache."
5291,Hakkari Frostwing,Located in Sunken Temple (Dungeon).
5300,Frayfeather Hippogryph,Initially friendly to Alliance but players can /roar at them to make them aggressive for taming. In valley north and west of Ruins of Isildien.
5304,Frayfeather Stagwing,Friendly to Alliance. In valley north and west of Ruins of Isildien.
5755,Deviate Viper,Located in Wailing Caverns (Dungeon).
5756,Deviate Venomwing,Located in Wailing Caverns (Dungeon).
