name_enus,icon,screenshot,displayName,skillcategory,rank_enus,description_enus,id
Bloody Screech,ability_hunter_pet_vulture,"{'id': 350711, 'imageType': 2}",,-3,Special Ability,"The Carrion Bird screeches, causing Mortal Wounds on the target.<br /><br /><span class=""tooltip-inside-icon"" style=""background-image: url(//wow.zamimg.com/images/wow/icons/small/ability_criticalstrike.jpg)""></span> <span style=""color: #FFFFFF"">Mortal Wounds</span><br />Grievously wounds the target, reducing the effectiveness of any healing received for 10 sec.",24423
Prowl,ability_druid_supriseattack,"{'id': 194808, 'imageType': 2}",,-3,Bonus Ability,"Puts your pet in stealth mode, but slows its movement speed by 50%. The first attack from stealth receives a 20% bonus to damage.  Lasts until cancelled.",24450
Shell Shield,inv_shield_21,"{'id': 72675, 'imageType': 2}",,-3,Special Ability,"The Turtle partially withdraws into its shell, reducing damage taken by 50% for 12 sec.",26064
Warp Time,spell_arcane_arcane04,{},,-3,Special Ability,"The Warp Stalker slows time around the enemy, reducing their movement speed by 50% for 6 sec.",35346
Pin,ability_hunter_pet_crab,{},,-3,Special Ability,"The Crab claws at the target's feet with its pincers, slowing movement by 50% for 6 sec.",50245
Dust Cloud,inv_misc_dust,{},,-3,Special Ability,"The Tallstrider kicks up a cloud of dust towards the target, slowing movement by 50% for 6 sec.",50285
Ankle Crack,ability_hunter_pet_crocolisk,{},,-3,Special Ability,"Snap at the target's feet, reducing movement speed by 50% for 6 sec.",50433
Frost Breath,spell_frost_chillingblast,{},,-3,Special Ability,"The Chimera blasts the target with frost breath, reducing movement speed by 50% for 6 sec.",54644
Monstrous Bite,inv_misc_bone_09,{},,-3,Special Ability,"The Devilsaur ferociously bites the enemy, causing the Mortal Wounds effect.<br /><br /><span class=""tooltip-inside-icon"" style=""background-image: url(//wow.zamimg.com/images/wow/icons/small/ability_criticalstrike.jpg)""></span> <span style=""color: #FFFFFF"">Mortal Wounds</span><br />Grievously wounds the target, reducing the effectiveness of any healing received for 10 sec.",54680
Spirit Walk,ability_druid_supriseattack,{},,-3,Bonus Ability,"Puts your pet in stealth mode, but slows its movement speed by 50%. The first attack from stealth receives a 20% bonus to damage.  Lasts until cancelled.",90328
Harden Carapace,inv_qiraj_carapaceoldgod,"{'id': 243769, 'imageType': 2}",,-3,Special Ability,"The Beetle hardens up, reducing damage taken by 50% for 12 sec.",90339
Play,ability_hunter_separationanxiety,"{'id': 191491, 'imageType': 2}",,-3,Bonus Ability,Puts your Fox into a playful state.,90347
Spirit Mend,spell_shaman_spiritlink,{},,-3,Exotic Ability,The Spirit Beast heals the current friendly target for [0 + ((<!--term-->rangedAttackPower<!--term--> * 0.6))] plus an additional [0 + ((<!--term-->rangedAttackPower<!--term--> * 0.6) * .66) * (5)] over 10 sec.,90361
Froststorm Breath,spell_frost_ice-shards,"{'id': 183242, 'imageType': 2}",,-3,Exotic Ability,"The Chimera channels a frozen breath attack, causing [((<!--term-->percentOfAttackPower_format, 18.1<!--term-->) + (<!--term-->rangedAttackPower<!--term-->) * 0.144) * (1 + <!--term-->versatility<!--term-->)] Froststorm damage every 2 sec for 8 sec to all enemies within 12 yards.",92380
Burrow Attack,inv_qiraj_skinsandworm,"{'id': 182193, 'imageType': 2}",,-3,Exotic Ability,"The Worm burrows into the earth and shakes the ground above, dealing  [((<!--term-->percentOfAttackPower_format, 12.1<!--term-->) + ((<!--term-->rangedAttackPower<!--term--> * 0.60) * 0.096)) * 8 * (1 + <!--term-->versatility<!--term-->) * <!--sp76657:0-->1<!--sp76657-->] Nature damage over 8 sec.",93433
